;marca;preço
87;"Tela  17.3""  Slim  Fhd  N173hhe-g32 -  40  Pinos  Marca Fti";R$ 1.109,99
88;Notebook Gamer Asus Strix Scar 18, Intel Core 13ª Geração I9-13980HX, 32GB RAM, RTX 4090, SSD 2TB NVMe, Tela 18 Polegadas Wqxga;R$ 48.210,53
89;Fonte Carregador Para Ultrabook Acer S7-391 19v 3,42a 688 - Preto - 110v/220v (bivolt);R$ 78,90
90;Fonte Carregador P Acer Aspire E5-574-78lr 19v 3.42a 65w 479, Voltagem De Entrada;R$ 71,70
91;Fonte Knup 19.5V, Para Notebook HP 3.33A - KP-513B;R$ 78,85
92;Fonte Carregador Para Dell Latitude E6410 19,5v 4.62a 393 - 136.63;R$ 97,94
93;Fonte Carregador Altomex Universal Notebook Laptop Cce Positivo Acer;R$ 51,90
94;Fonte Carregador De Notebook Adaptador Universal 24v;R$ 53,90
95;Fonte Carregador 45W, USB-C, Para HP, Lenovo, Dell, Mac;R$ 139,99
96;Workstation Lenovo P15 Thinkpad  I7 10750h 16gb 512gb Nvidia Quadro T1000 4gb 15.6 Fhd 300 Nits;R$ 9.999,00
97;Fonte Carregador Para Notebook Asus X550cc 19v 3.42a 65w P8 - Voltagem De Entrada;R$ 56,77
98;Fonte Fy Para Notebook Dell 14, 19.5V, 65W, Bivolt - n4050;R$ 69,90
99;Notebook Positivo Motion, Intel Atom Quad Core Z8350, RAM 4GB, SSD 64GB, 14pol. 1366x768, Intel Graphics, Windows 10, Vermelho - Q4128C;R$ 1.439,10
100;Fonte Carregador 15W, Para Notebook Positivo Stilo One, XC3570, 3550, 3552, 5V, 3A;R$ 45,00
101;"Notebook Asus VivoBook Intel Celeron Dual-Core, 4GB, 500GB, 15.6"" LED, Windows 10 - X543NA-GQ342T";R$ 2.249,10
102;Fonte P/ Sony Vaio 10.5v 4.3a Vgp-ac10v10 Duo 10 11 13 Serie 687;R$ 57,90
103;Capa Hars Multicolor Macbook Pro, 16.2 Pol, A2780, Cor:arco-íris;R$ 129,90
104;Capa Hars Multicolor Macbook Pro 13.3 Pol, A1706 A1708, Cor:degradê;R$ 129,90
105;Capa Hars Multicolor Macbook Pro 13.3 Pol, A2251, A2289, A2338, Cor:degradê;R$ 129,90
106;Capa Pasta Maleta Notebook 17.3 Polegadas - Astronauta 1;R$ 37,91
107;Capa para Notebook, Goku - 17,3 Polegadas;R$ 37,91
108;Capa Pasta Maleta Notebook 17.3 Polegadas - Abstrato;R$ 37,91
109;Capa Pasta Maleta Notebook 14 Polegadas - Goku;R$ 37,91
110;Capa Pasta Maleta Notebook 14 Polegadas - Mapa Antigo 4;R$ 37,91
111;Capa Logo Recortado Macbook Pro 13.3 Pol A1989 Cor:rosa;R$ 129,90
112;Capa Para Notebook Com Bolso 14Polegadas;R$ 29,90
113;Capa Para Notebook 15.6 Polegadas Vinho;R$ 28,90
114;Capa Special Séries Macbook Pro 13.3 Polegadas, A2251, A2289, A2338 - Full Black;R$ 149,90
115;Notebook Asus Rog Flow X16, Intel 13a Geração I9-13900h, RAM 64GB, SSD 4TB Nvme, Tela 13 Polegadas Qhd, RTX 4070, Windows 11 pro;R$ 39.789,47
116;Notebook Msi Creatorpro Z17 Hx Studio - B13v · Intel 13a Geração I9-13950hx, 64GB, SSD 4TB Nvme, Tela 17 Polegadas QHD, RTX A3000, Windows 11 pro, Cinza;R$ 46.842,11
117;Capa Glitter Séries para Macbook Air, 13.6 Pol, A2681 - Preta;R$ 129,90
118;Capa Glitter Séries para Macbook Pro, 14.2 Pol, A2442 - Preta;R$ 129,90
119;Capa Multicolor para Macbook Air, 13.6 Pol, A2681- Degradê;R$ 129,90
120;Bateria Para Notebook Acer Travelmate B113-e-877b2g32akk | 6 Células;R$ 131,13
121;Fonte Carregador Para Notebook Positivo Mobile V25 | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
122;Fonte Carregador Para Notebook Positivo Premium 800 | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
123;Fonte Carregador Para Notebook Bringit 4.8mm X 1.7mm | 19v 3.42a 65w Pino 4.8 X 1.7 Mm;R$ 49,31
124;Fonte Carregador Para Notebook Apple Macbook Pro Ma701ll/a | 16.5v 3.65a 60w Pino Magsafe L;R$ 114,81
125;Bateria Para Notebook Samsung Np Series Np550p4c | 4400 Mah 10.8 V;R$ 163,13
126;Bateria Para Notebook Hp Ev12 | 4400 Mah;R$ 181,08
127;Bateria Para Notebook Acer Aspire R3-131t-p7qw | 2200 Mah 11.4 V;R$ 188,50
128;Bateria Para Notebook Samsung R Series R540-ja09 | 4400 Mah 10.8 V;R$ 163,13
129;Bateria Para Notebook Acer E732g-374g50mnkk | 6600 Mah;R$ 214,46
130;Fonte Para Notebook Samsung Np530u4b-a02us | 19v 3.16a;R$ 93,98
131;Bateria Para Notebook Hp Compaq Cq43-214br | 6600 Mah;R$ 249,16
132;Bateria Para Notebook Hp Pavilion G6-1075sa | 6600 Mah;R$ 249,16
133;Fonte Carregador Para Notebook Apple Macbook Pro Ma538ll/b | 16.5v 3.65a 60w Pino Magsafe L;R$ 114,81
134;Bateria Para Notebook Hp Pavilion 14-b015dx 14-b017cl | 4 Células;R$ 163,76
135;Bateria Para Notebook Hp Pavilion G6-1278sa | 6600 Mah;R$ 249,16
136;Fonte Para Notebook Samsung Np300v | 19v 4.74a;R$ 59,38
137;Bateria Para Notebook Hp Pavilion G6-1281sk | 6600 Mah;R$ 249,16
138;Fonte Carregador Para Notebook Hp Elitebook Revolve 810 G2 | 19.5v 2.31a 45w Pino 7.4 X 5.0 Mm;R$ 57,36
139;Bateria Para Notebook Hp Probook 440 G2 J4z32pt | 4 Células;R$ 208,79
140;Bateria Para Notebook Asus X Series X551, 2200 Mah;R$ 157,10
